LTAO ensquared energies. Created from ATLAS data, converted to square geometry
These are averages of outer & inner circle values
created 15/10/09
Rref (mas)   L_ee   M_ee    N_ee
       5.0000000         5.1094618         3.5437394         1.4291218
       10.000000         17.233686         10.790127         3.3324576
       15.000000         31.329165         21.856188         6.0966337
       20.000000         43.892221         32.591584         10.772178
       25.000000         51.833950         42.587550         15.591156
       30.000000         58.483249         51.193588         20.749011
       35.000000         61.578390         56.814831         26.485381
       40.000000         64.243724         61.861181         30.724546
       45.000000         66.428211         64.685428         35.685048
       50.000000         68.612699         67.509675         40.645550
       55.000000         70.468186         69.893921         44.461552
       60.000000         72.323673         72.278168         48.277554
       65.000000         74.179161         74.662415         52.093557
       70.000000         76.034648         77.046662         55.909559
       75.000000         77.137665         78.373842         58.287941
       80.000000         78.116148         79.526076         60.428396
       85.000000         79.094632         80.678310         62.568851
       90.000000         80.073115         81.830544         64.709305
       95.000000         81.051598         82.982779         66.849760
       100.00000         82.030081         84.135013         68.990215
