Wavelength	1a-R	1a-T
1.5	85.21	2.69
1.6	92.37	3.57
1.7	18.51	68.58
1.8	83.68	2.75
1.9	67.53	6.84
2	95.33	3.13
2.1	91.33	6.64
2.2	84.14	10.61
2.3	64.97	23.78
2.4	95.25	2.65
2.5	70.57	19.67
2.6	98.20	0.79
2.7	77.17	9.93
2.8	93.15	3.21
2.9	88.26	7.28
3	68.69	26.65
3.1	69.15	22.28
3.2	95.62	3.14
3.3	96.75	2.53
3.4	78.18	18.08
3.5	92.71	5.14
3.6	90.39	4.28
3.7	93.11	3.30
3.8	90.99	3.99
3.9	87.77	5.70
4	85.65	8.32
4.1	86.35	10.48
4.2	72.29	23.05
4.3	42.26	52.37
4.4	19.83	74.88
4.5	36.10	59.14
4.6	70.74	22.92
4.7	96.58	1.59
4.8	98.90	0.26
4.9	99.39	0.08
5	99.56	0.04
5.1	99.64	0.03
5.2	99.68	0.02
5.3	99.68	0.02
5.4	99.67	0.03
5.5	99.62	0.05
5.6	99.51	0.10
5.7	99.25	0.23
5.8	98.43	0.73
5.9	94.50	3.61
6	63.60	29.58
6.1	56.90	39.02
6.2	65.38	32.82
6.3	49.53	48.69
6.4	31.05	66.85
6.5	50.68	47.82
6.6	66.69	32.25
6.7	71.52	27.54
6.8	69.59	29.41
6.9	61.49	37.30
7	45.96	52.49
7.1	24.53	73.50
7.2	7.46	90.34
7.3	3.26	94.60
7.4	6.22	91.81
7.5	8.88	89.26
7.6	9.13	89.06
7.7	7.81	90.39
7.8	6.47	91.72
7.9	6.21	92.01
8	7.06	91.20
8.1	8.36	89.96
8.2	9.38	88.98
8.3	9.75	88.64
8.4	9.49	88.92
8.5	8.87	89.56
8.6	8.26	90.18
8.7	7.94	90.51
8.8	8.03	90.45
8.9	8.44	90.07
9	8.98	89.56
9.1	9.45	89.12
9.2	9.70	88.88
9.3	9.70	88.90
9.4	9.48	89.13
9.5	9.14	89.48
9.6	8.80	89.83
9.7	8.57	90.07
9.8	8.53	90.11
9.9	8.70	89.96
10	9.05	89.63
10.1	9.50	89.20
10.2	9.97	88.75
10.3	10.38	88.36
10.4	10.67	88.08
10.5	10.81	87.95
10.6	10.80	87.97
10.7	10.65	88.12
10.8	10.41	88.37
10.9	10.13	88.66
11	9.86	88.94
11.1	9.64	89.17
11.2	9.51	89.31
11.3	9.49	89.33
11.4	9.58	89.25
11.5	9.78	89.06
11.6	10.06	88.80
11.7	10.38	88.49
11.8	10.72	88.16
11.9	11.05	87.86
12	11.33	87.59
12.1	11.54	87.38
12.2	11.68	87.25
12.3	11.75	87.20
12.4	11.74	87.21
12.5	11.67	87.29
12.6	11.55	87.42
12.7	11.40	87.57
12.8	11.24	87.74
12.9	11.09	87.90
13	10.96	88.03
13.1	10.87	88.12
13.2	10.84	88.17
13.3	10.86	88.15
13.4	10.94	88.08
13.5	11.08	87.95
13.6	11.27	87.77
13.7	11.49	87.55
13.8	11.75	87.31
13.9	12.02	87.05
14	12.29	86.78
14.1	12.55	86.53
14.2	12.79	86.30
14.3	13.00	86.10
14.4	13.18	85.93
14.5	13.30	85.81
14.6	13.39	85.74
14.7	13.42	85.71
14.8	13.40	85.73
14.9	13.34	85.79
15	13.24	85.90
15.1	13.11	86.04
15.2	12.94	86.21
15.3	12.75	86.40
15.4	12.55	86.60
15.5	12.34	86.82
15.6	12.13	87.03
15.7	11.93	87.23
15.8	11.74	87.42
15.9	11.58	87.59
16	11.44	87.73
16.1	11.33	87.85
16.2	11.25	87.93
16.3	11.20	87.99
16.4	11.19	88.01
16.5	11.20	87.99
16.6	11.25	87.95
16.7	11.32	87.89
16.8	11.41	87.80
16.9	11.53	87.69
17	11.65	87.57
17.1	11.78	87.45
17.2	11.92	87.32
17.3	12.05	87.19
17.4	12.18	87.07
17.5	12.30	86.95
17.6	12.40	86.86
17.7	12.49	86.78
17.8	12.55	86.72
17.9	12.59	86.68
18	12.61	86.67
18.1	12.60	86.68
18.2	12.56	86.72
18.3	12.50	86.79
18.4	12.41	86.88
18.5	12.30	86.99
18.6	12.16	87.13
18.7	12.01	87.28
18.8	11.84	87.45
18.9	11.65	87.64
19	11.46	87.83
19.1	11.26	88.03
19.2	11.07	88.23
19.3	10.87	88.42
19.4	10.69	88.60
19.5	10.52	88.77
19.6	10.38	88.92
19.7	10.26	89.04
19.8	10.17	89.13
19.9	10.11	89.19
20	10.10	89.20
20.1	10.10	88.75
20.2	10.20	88.88
20.3	10.34	88.89
20.4	10.53	88.68
20.5	10.78	88.44
20.6	11.08	88.05
20.7	11.46	87.72
20.8	11.90	87.41
20.9	12.39	86.88
21	12.93	86.19
21.1	13.50	85.21
21.2	14.16	84.44
21.3	14.91	84.00
21.4	15.69	83.35
21.5	16.50	82.47
21.6	17.34	81.44
21.7	18.20	80.22
21.8	19.06	78.82
21.9	20.00	77.72
22	21.01	76.94
22.1	22.02	75.96
22.2	23.01	74.81
22.3	24.01	73.52
22.4	25.02	72.35
22.5	26.07	71.36
22.6	27.11	70.39
22.7	28.17	69.52
22.8	29.21	68.55
22.9	30.22	67.48
23	31.26	66.68
23.1	32.30	66.01
23.2	33.30	65.19
23.3	34.26	64.26
23.4	35.18	63.20
23.5	36.04	61.98
23.6	36.88	60.77
23.7	37.70	59.61
23.8	38.50	58.50
23.9	39.31	57.62
24	40.20	57.33
24.1	41.04	56.98
24.2	41.81	56.37
24.3	42.54	55.65
24.4	43.24	55.00
24.5	43.92	54.33
24.6	44.54	53.58
24.7	45.14	52.81
24.8	45.70	52.00
24.9	46.22	51.14
25	46.66	50.01
25.1	47.09	48.92
25.2	47.58	48.36
25.3	48.15	48.32
25.4	48.74	48.51
25.5	49.27	48.49
25.6	49.76	48.36
25.7	50.19	48.09
25.8	50.55	47.57
25.9	50.85	46.87
26	51.17	46.38
26.1	51.53	46.17
26.2	51.91	46.18
26.3	52.24	46.02
26.4	52.49	45.58
26.5	52.65	44.81
26.6	52.79	44.05
26.7	52.99	43.65
26.8	53.27	43.71
26.9	53.53	43.70
27	53.75	43.60
27.1	53.94	43.42
27.2	54.11	43.25
27.3	54.30	43.18
27.4	54.43	42.95
27.5	54.56	42.77
27.6	54.63	42.41
27.7	54.64	41.88
27.8	54.62	41.26
27.9	54.55	40.51
