METIS high-res IFU N-band resolcing power as a function of wavelength
Based on optical design data of LM-band spectrograph
Created by S. Kendrew on Wed Aug 26 14:00:10 2009
       
wave (micron)     res (x1000)
       7.0000000            60.752758
       7.1186441            63.262584
       7.2372881            65.941520
       7.3559322            60.752758
       7.4745763            63.262584
       7.5932203            65.941520
       7.7118644            60.752758
       7.8305085            63.262584
       7.9491525            65.941520
       8.0677966            60.752758
       8.1864407            63.262584
       8.3050847            65.941520
       8.4237288            60.752758
       8.5423729            63.262584
       8.6610169            65.941520
       8.7796610            60.752758
       8.8983051            63.262584
       9.0169492            65.941520
       9.1355932            60.752758
       9.2542373            63.262584
       9.3728814            65.941520
       9.4915254            60.752758
       9.6101695            63.262584
       9.7288136            65.941520
       9.8474576            60.502525
       9.9661017            63.262584
       10.084746            66.210136
       10.203390            60.502525
       10.322034            62.962963
       10.440678            65.349450
       10.559322            58.960265
       10.677966            61.111111
       10.796610            63.427407
       10.915254            56.983984
       11.033898            59.259259
       11.152542            61.709556
       11.271186            55.203234
       11.389831            57.407407
       11.508475            59.781132
       11.627119            53.422485
       11.745763            55.555556
       11.864407            57.852709
       11.983051            51.469905
       12.101695            53.703704
       12.220339            56.109334
       12.338983            49.529175
       12.457627            51.851852
       12.576271            54.353196
       12.694915            47.600295
       12.813559            50.000000
       12.932203            52.584297
       13.050847            45.683266
       13.169492            48.148148
       13.288136            50.802636
       13.406780            43.778088
       13.525424            46.296296
       13.644068            49.008213
       13.762712            42.026964
       13.881356            44.444444
       14.000000            47.047885
